,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP,BATCH,QUIZ_PERCENT,ASSIGN_PERCENT,MID_PERCENT,FINAL_PERCENT
0,M,12.5,8.5,19.0,30.8,71,B-,2.7,bcs_sp22,83.33333333333334,85.0,76.0,61.6
1,M,11.0,7.5,11.0,27.7,57,C-,1.7,bcs_sp22,73.33333333333333,75.0,44.0,55.39999999999999
2,M,12.5,8.0,20.0,40.0,81,B+,3.3,bcs_sp22,83.33333333333334,80.0,80.0,80.0
3,F,12.5,8.5,19.0,31.5,72,B-,2.7,bcs_sp22,83.33333333333334,85.0,76.0,63.0
4,F,12.5,9.0,21.0,38.5,81,B+,3.3,bcs_sp22,83.33333333333334,90.0,84.0,77.0
5,M,12.5,8.8,21.0,50.0,92,A,4.0,bcs_sp22,83.33333333333334,88.00000000000001,84.0,100.0
6,M,12.5,8.5,19.0,33.8,74,B-,2.7,bcs_sp22,83.33333333333334,85.0,76.0,67.6
7,M,12.5,8.5,11.0,36.2,68,C+,2.3,bcs_sp22,83.33333333333334,85.0,44.0,72.4
8,M,7.5,7.8,19.0,24.6,59,C-,1.7,bcs_sp22,50.0,78.0,76.0,49.2
9,M,11.5,7.8,18.0,30.8,68,C+,2.3,bcs_sp22,76.66666666666667,78.0,72.0,61.6
10,F,13.5,9.3,25.0,43.1,91,A,4.0,bcs_sp22,90.0,93.0,100.0,86.2
12,M,11.0,7.3,6.0,28.5,53,D,1.3,bcs_sp22,73.33333333333333,73.0,24.0,56.99999999999999
13,M,13.5,8.3,23.0,50.0,95,A,4.0,bcs_sp22,90.0,83.0,92.0,100.0
15,M,12.5,8.5,13.0,36.2,70,B-,2.7,bcs_sp22,83.33333333333334,85.0,52.0,72.4
16,F,13.0,8.5,15.0,32.3,69,C+,2.3,bcs_sp22,86.66666666666667,85.0,60.0,64.6
17,M,12.0,7.8,13.0,33.1,66,C+,2.3,bcs_sp22,80.0,78.0,52.0,66.2
18,F,12.5,8.5,19.0,50.0,90,A,4.0,bcs_sp22,83.33333333333334,85.0,76.0,100.0
19,F,14.0,9.5,23.0,50.0,97,A,4.0,bcs_sp22,93.33333333333333,95.0,92.0,100.0
20,F,12.0,7.8,18.0,50.0,88,A-,3.7,bcs_sp22,80.0,78.0,72.0,100.0
21,M,11.5,7.8,20.0,40.0,79,B,3.0,bcs_sp22,76.66666666666667,78.0,80.0,80.0
22,F,12.5,8.8,21.0,44.6,87,A-,3.7,bcs_sp22,83.33333333333334,88.00000000000001,84.0,89.2
23,F,13.5,9.0,24.0,50.0,97,A,4.0,bcs_sp22,90.0,90.0,96.0,100.0
24,F,11.5,8.5,11.0,19.2,50,D,1.3,bcs_sp22,76.66666666666667,85.0,44.0,38.4
25,F,13.0,8.5,12.0,17.7,51,D,1.3,bcs_sp22,86.66666666666667,85.0,48.0,35.4
26,F,11.0,8.0,9.0,22.3,50,D,1.3,bcs_sp22,73.33333333333333,80.0,36.0,44.6
27,M,12.0,8.8,20.0,26.9,68,C+,2.3,bcs_sp22,80.0,88.00000000000001,80.0,53.79999999999999
28,M,9.4,8.8,15.5,30.0,64,C,2.0,bcs_fa21,62.66666666666667,88.00000000000001,62.0,60.0
29,F,9.4,8.3,12.5,28.6,59,C-,1.7,bcs_fa21,62.66666666666667,83.0,50.0,57.2
30,M,9.8,8.8,14.5,40.0,73,B-,2.7,bcs_fa21,65.33333333333334,88.00000000000001,57.99999999999999,80.0
31,F,9.4,8.0,8.5,34.3,60,C,2.0,bcs_fa21,62.66666666666667,80.0,34.0,68.6
32,F,10.5,9.0,20.0,50.0,90,A,4.0,bcs_fa21,70.0,90.0,80.0,100.0
33,M,10.1,8.5,13.0,35.7,67,C+,2.3,bcs_fa21,67.33333333333333,85.0,52.0,71.4
34,F,9.4,9.0,17.0,21.4,57,C-,1.7,bcs_fa21,62.66666666666667,90.0,68.0,42.8
35,F,11.3,8.8,20.5,44.3,85,A-,3.7,bcs_fa21,75.33333333333334,88.00000000000001,82.0,88.6
36,M,10.9,8.8,18.0,31.4,69,C+,2.3,bcs_fa21,72.66666666666667,88.00000000000001,72.0,62.8
37,M,9.0,8.3,9.5,34.3,61,C,2.0,bcs_fa21,60.0,83.0,38.0,68.6
38,M,9.4,8.0,6.0,28.6,52,D,1.3,bcs_fa21,62.66666666666667,80.0,24.0,57.2
