SNO,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP
1,M,9.4,8.8,15.5,30,64,C,2
2,F,9.4,8.3,12.5,28.6,59,C-,1.7
3,M,9.8,8.8,14.5,40,73,B-,2.7
4,F,9.4,8,8.5,34.3,60,C,2
5,F,10.5,9,20,50,90,A,4
6,M,10.1,8.5,13,35.7,67,C+,2.3
7,F,9.4,9,17,21.4,57,C-,1.7
8,F,11.3,8.8,20.5,44.3,85,A-,3.7
9,M,10.9,8.8,18,31.4,69,C+,2.3
10,M,9,8.3,9.5,34.3,61,C,2
11,M,9.4,8,6,28.6,52,D,1.3
12,M,10.1,9.3,18.5,32.9,71,B-,2.7
13,M,9.4,8.3,10.5,31.4,60,C,2
14,F,9,8,15,32.9,65,C+,2.3
15,F,9,8.3,15,18.6,51,D,1.3
16,F,10.1,8.3,15.5,30,64,C,2
17,M,10.1,8.5,12,45.7,76,B,3
18,M,9.4,8.3,7.5,37.1,62,C,2
19,M,9.4,8.8,9.5,31.4,59,C-,1.7
20,F,8.6,6.5,7.5,27.1,50,D,1.3
21,F,10.9,6.5,14,40,71,B-,2.7
22,M,9,8,9.5,25.7,52,D,1.3
23,M,5.6,5.8,0,0,11,F,0
24,F,9,8.5,14,30,62,C,2
25,M,9.4,8.3,9.5,40,67,C+,2.3
26,M,8.3,8,6.5,14.3,37,F,0
27,F,8.3,7.8,6,28.6,51,D,1.3
28,F,11.3,9,22,50,92,A,4
29,F,8.6,8.3,8.5,18.6,44,F,0
30,M,10.5,8,19,45.7,83,B+,3.3
31,M,10.1,8.5,20.5,44.3,83,B+,3.3
32,M,9,7.8,10,25.7,53,D,1.3
33,F,10.1,8,15.5,37.1,71,B-,2.7
34,F,9.8,8,11,31.4,60,C,2
35,M,8.3,8,12.5,37.1,66,C+,2.3
36,F,9,8.3,12.5,31.4,61,C,2
37,M,9,8.3,11,32.9,61,C,2
38,M,9,8.3,11.5,30,59,C-,1.7
39,M,9.8,8.5,15.5,50,84,B+,3.3
40,M,9.4,8.8,21,50,89,A-,3.7
41,F,8.6,8,9.5,24.3,50,D,1.3
42,M,9,7,10,24.3,50,D,1.3
43,F,10.9,8.3,14.5,30,64,C,2
44,M,11.3,8.8,17,32.9,70,B-,2.7
45,M,7.5,7.3,8.5,27.1,50,D,1.3
46,F,3,0,0,0,3,F,0
47,M,8.6,8.3,17,50,84,B+,3.3
48,F,10.5,8.5,14.5,32.9,66,C+,2.3
49,F,10.5,8.6,16.5,34.3,70,B-,2.7
50,M,8.6,7.5,14,30,60,C,2
51,M,8.3,8.3,16,35.7,68,C+,2.3
52,M,8.6,8,8,25.7,50,D,1.3
53,M,9.4,8.5,14,41.4,73,B-,2.7
54,F,6.8,8,8,27.9,51,D,1.3
55,F,9.8,8.3,17,44.3,79,B,3
56,M,9,8.5,15,25.7,58,C-,1.7
57,M,9,8.3,15.5,25.7,59,C-,1.7
58,F,10.1,8.3,13,50,81,B+,3.3
59,M,9,7.8,11,30,58,C-,1.7
60,M,9,7.8,14.5,30,61,C,2
61,M,9,8.3,12.5,47.1,77,B,3
62,F,8.3,7.3,12,31.4,59,C-,1.7
63,M,9.8,8.5,20.5,50,89,A-,3.7
64,M,10.5,8.5,13,40,72,B-,2.7
65,F,10.5,8.8,13.5,38.6,71,B-,2.7
