SNO,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP
1,M,12.5,8.5,19,30.8,71,B-,2.7
2,M,11,7.5,11,27.7,57,C-,1.7
3,M,12.5,8,20,40,81,B+,3.3
4,F,12.5,8.5,19,31.5,72,B-,2.7
5,F,12.5,9,21,38.5,81,B+,3.3
6,M,12.5,8.8,21,50,92,A,4
7,M,12.5,8.5,19,33.8,74,B-,2.7
8,M,12.5,8.5,11,36.2,68,C+,2.3
9,M,7.5,7.8,19,24.6,59,C-,1.7
10,M,11.5,7.8,18,30.8,68,C+,2.3
11,F,13.5,9.3,25,43.1,91,A,4
12,F,11,8,4,0,23,F,0
13,M,11,7.3,6,28.5,53,D,1.3
14,M,13.5,8.3,23,50,95,A,4
15,M,11,8,2,13.1,34,F,0
16,M,12.5,8.5,13,36.2,70,B-,2.7
17,F,13,8.5,15,32.3,69,C+,2.3
18,M,12,7.8,13,33.1,66,C+,2.3
19,F,12.5,8.5,19,50,90,A,4
20,F,14,9.5,23,50,97,A,4
21,F,12,7.8,18,50,88,A-,3.7
22,M,11.5,7.8,20,40,79,B,3
23,F,12.5,8.8,21,44.6,87,A-,3.7
24,F,13.5,9,24,50,97,A,4
25,F,11.5,8.5,11,19.2,50,D,1.3
26,F,13,8.5,12,17.7,51,D,1.3
27,F,11,8,9,22.3,50,D,1.3
28,M,12,8.8,20,26.9,68,C+,2.3
